0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,MCC_X110_TA3010_ALM_DINT,"ALM : Power Supply Servo - Kinetix 5700, Bus Supply",DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_X110_FC3010_ALM_DINT,ALM : Power Supply Servo - Thermal Fault,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_X201_TA6110_ALM_DINT,ALM : Former Wire Run - Compactor - Kinetix 5700 Servo Drive,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_X203_TA6101_ALM_DINT,ALM : Pulp Infeed - Kinetix 5700 Servo Drive,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H121_KF6011_ALM_DINT,ALM : Hammer Mill Rotating Monitor - Standstill,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H121_RL4021_ALM_DINT,ALM : Hammer Mill - Lid Opened or Closed too Slow,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H121_RL4021_ALM_DINT,ALM : Hammer Mill - Lid Switch Open,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_ES01_SF6103_ALM_DINT,ALM : Emergency Stop  - Hammer Mill,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_AQ01_BF9001_ALM_DINT,ALM : Main air - Pressure Feedback,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_ES01_SF6101_ALM_DINT,ALM : Emergency Stop  - Wire Operator Side,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_ES01_SF6102_ALM_DINT,ALM : Emergency Stop  - Wire Drive Side,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_AC01_FC2010_ALM_DINT,ALM : 230VAC Power Supply - Circuit Breaker,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_DC01_FC1010_ALM_DINT,ALM : 24VDC Power Supply - Power Feed Module,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_DC02_FC1002_ALM_DINT,ALM : 24VDC Power Supply Servodrive - Circuit Breaker,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_DC02_1LDC_ALM_DINT,ALM : Power Supply 24VDC Servodrive - Circuit Breaker,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_DC02_2LDC_ALM_DINT,"ALM : Power Supply 24VDC Servodrive - Circuit Breaker, Spare",DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_IO_KF1000_ALM_DINT,ALM : Point IO - EtherNet/IP Adapter,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_IO_KF3007_ALM_DINT,ALM : Safety Input  - SDI,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_IO_KF3008_ALM_DINT,ALM : Safety Input  - SDI,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_IO_KF3009_ALM_DINT,ALM : Safety Output - SDO,DINT,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
