0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,MCC_X110_TA3010_FP_UDT,"UDT_IO_FP : Power Supply Servo - Kinetix 5700, Bus Supply",UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_X110_TA3010_FP_UDT,,,MCC_X110_TA3010_FP_UDT.EU,
COMMENT:en-US,,MCC_X110_TA3010_FP_UDT,1,,MCC_X110_TA3010_FP_UDT.PLC,
COMMENT:en-US,,MCC_X110_TA3010_FP_UDT,"Power Supply Servo - Kinetix 5700, Bus Supply",,MCC_X110_TA3010_FP_UDT.TagComment,
COMMENT:en-US,,MCC_X110_TA3010_FP_UDT,,,MCC_X110_TA3010_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_X110_TA3010_FP_UDT,+MCC=X110-TA3010,,MCC_X110_TA3010_FP_UDT.TagName,
TAG,,MCC_X110_FC3010_FP_UDT,UDT_IO_FP : Power Supply Servo - Thermal Fault,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_X110_FC3010_FP_UDT,,,MCC_X110_FC3010_FP_UDT.EU,
COMMENT:en-US,,MCC_X110_FC3010_FP_UDT,1,,MCC_X110_FC3010_FP_UDT.PLC,
COMMENT:en-US,,MCC_X110_FC3010_FP_UDT,Power Supply Servo - Thermal Fault,,MCC_X110_FC3010_FP_UDT.TagComment,
COMMENT:en-US,,MCC_X110_FC3010_FP_UDT,MCC_IO:1:I.0,,MCC_X110_FC3010_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_X110_FC3010_FP_UDT,+MCC=X110-FC3010,,MCC_X110_FC3010_FP_UDT.TagName,
TAG,,MCC_X201_TA6110_FP_UDT,UDT_IO_FP : Former Wire Run - Compactor - Kinetix 5700 Servo Drive,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_X201_TA6110_FP_UDT,,,MCC_X201_TA6110_FP_UDT.EU,
COMMENT:en-US,,MCC_X201_TA6110_FP_UDT,1,,MCC_X201_TA6110_FP_UDT.PLC,
COMMENT:en-US,,MCC_X201_TA6110_FP_UDT,Former Wire Run - Compactor - Kinetix 5700 Servo Drive,,MCC_X201_TA6110_FP_UDT.TagComment,
COMMENT:en-US,,MCC_X201_TA6110_FP_UDT,,,MCC_X201_TA6110_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_X201_TA6110_FP_UDT,+MCC=X201-TA6110,,MCC_X201_TA6110_FP_UDT.TagName,
TAG,,MCC_X203_TA6101_FP_UDT,UDT_IO_FP : Pulp Infeed - Kinetix 5700 Servo Drive,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_X203_TA6101_FP_UDT,,,MCC_X203_TA6101_FP_UDT.EU,
COMMENT:en-US,,MCC_X203_TA6101_FP_UDT,1,,MCC_X203_TA6101_FP_UDT.PLC,
COMMENT:en-US,,MCC_X203_TA6101_FP_UDT,Pulp Infeed - Kinetix 5700 Servo Drive,,MCC_X203_TA6101_FP_UDT.TagComment,
COMMENT:en-US,,MCC_X203_TA6101_FP_UDT,,,MCC_X203_TA6101_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_X203_TA6101_FP_UDT,+MCC=X203-TA6101,,MCC_X203_TA6101_FP_UDT.TagName,
TAG,,MCC_H121_KF6011_FP_UDT,UDT_IO_FP : Hammer Mill Rotating Monitor - Standstill,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_H121_KF6011_FP_UDT,,,MCC_H121_KF6011_FP_UDT.EU,
COMMENT:en-US,,MCC_H121_KF6011_FP_UDT,1,,MCC_H121_KF6011_FP_UDT.PLC,
COMMENT:en-US,,MCC_H121_KF6011_FP_UDT,Hammer Mill Rotating Monitor - Standstill,,MCC_H121_KF6011_FP_UDT.TagComment,
COMMENT:en-US,,MCC_H121_KF6011_FP_UDT,MCC_IO:7:I.Pt00Data,,MCC_H121_KF6011_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_H121_KF6011_FP_UDT,+MCC=H121-KF6011,,MCC_H121_KF6011_FP_UDT.TagName,
TAG,,MCC_H121_RL4021_FP_UDT,UDT_IO_FP : Hammer Mill - Lid Opened or Closed too Slow,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,,,MCC_H121_RL4021_FP_UDT.EU,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,1,,MCC_H121_RL4021_FP_UDT.PLC,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,Hammer Mill - Lid Opened or Closed too Slow,,MCC_H121_RL4021_FP_UDT.TagComment,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,MCC_IO:7:I.Pt02Data,,MCC_H121_RL4021_FP_UDT.TagAddress,
