0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,PNEU1_C311_QM9011_FP_UDT,UDT_IO_FP_VLV : Compactor Up/Down - Up/Down Compactor,UDT_IO_FP_VLV,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,Up,,PNEU1_C311_QM9011_FP_UDT.ActivateCaption,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,Down,,PNEU1_C311_QM9011_FP_UDT.DeactivateCaption,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,,,PNEU1_C311_QM9011_FP_UDT.EU,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,,,PNEU1_C311_QM9011_FP_UDT.Negative_FB,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,PLC1,,PNEU1_C311_QM9011_FP_UDT.PLC,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,,,PNEU1_C311_QM9011_FP_UDT.Positive_FB,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,,,PNEU1_C311_QM9011_FP_UDT.TagAddress,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,Compactor Up/Down - Up/Down Compactor,,PNEU1_C311_QM9011_FP_UDT.TagComment,
COMMENT:en-US,,PNEU1_C311_QM9011_FP_UDT,+PNEU1=C311-QM9011,,PNEU1_C311_QM9011_FP_UDT.TagName,
TAG,,PNEU2_H110_QM9041_FP_UDT,UDT_IO_FP_VLV : Pulp Infeed Up/Down - Open/Close Nip,UDT_IO_FP_VLV,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,Open,,PNEU2_H110_QM9041_FP_UDT.ActivateCaption,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,Close,,PNEU2_H110_QM9041_FP_UDT.DeactivateCaption,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,,,PNEU2_H110_QM9041_FP_UDT.EU,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,,,PNEU2_H110_QM9041_FP_UDT.Negative_FB,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,PLC1,,PNEU2_H110_QM9041_FP_UDT.PLC,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,,,PNEU2_H110_QM9041_FP_UDT.Positive_FB,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,,,PNEU2_H110_QM9041_FP_UDT.TagAddress,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,Pulp Infeed Up/Down - Open/Close Nip,,PNEU2_H110_QM9041_FP_UDT.TagComment,
COMMENT:en-US,,PNEU2_H110_QM9041_FP_UDT,+PNEU2=H110-QM9041,,PNEU2_H110_QM9041_FP_UDT.TagName,
