0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,MCC_F311_MA3111_FRQ_UDT,UDT_IO_FRQ : Former Wire Run - Motor [m/min] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_C311_MA3121_FRQ_UDT,UDT_IO_FRQ : Compactor - Motor [m/min] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H111_MA3101_FRQ_UDT,UDT_IO_FRQ : Pulp Infeed - Motor [m/min] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_F111_MA3210_FRQ_UDT,UDT_IO_FRQ : Drum 1A - Motor [m/min] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_F112_MA3211_FRQ_UDT,UDT_IO_FRQ : Drum 1B - Motor [m/min] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_F121_MA3212_FRQ_UDT,UDT_IO_FRQ : Needle Roll 1A - Motor [RPM] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_F122_MA3213_FRQ_UDT,UDT_IO_FRQ : Needle Roll 1B - Motor [RPM] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_D181_MA3111_FRQ_UDT,UDT_IO_FRQ : Main Suction Fan  - Motor [RPM] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H121_MA3227_FRQ_UDT,UDT_IO_FRQ : Hammer Mill - Motor [RPM] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,,MCC_H131_MA3228_FRQ_UDT,UDT_IO_FRQ : Fiber Transport - Motor [RPM] (MCC),UDT_IO_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F311_MA3111_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_C311_MA3121_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H111_MA3101_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F111_MA3210_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F112_MA3211_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F121_MA3212_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F122_MA3213_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_D181_MA3111_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H121_MA3227_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H131_MA3228_SafetyOK,Safety OK,BOOL,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_F311_MA3111_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_C311_MA3121_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_H111_MA3101_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_F111_MA3210_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_F112_MA3211_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_F121_MA3212_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_F122_MA3213_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_D181_MA3111_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_H121_MA3227_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,Safety_Z1,MCC_H131_MA3228_SF_OK,Safe OK,BOOL,,"(Class := Safety, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F311_MA3111_FRQ_CM,CM_FRQ : Former Wire Run - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_C311_MA3121_FRQ_CM,CM_FRQ : Compactor - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H111_MA3101_FRQ_CM,CM_FRQ : Pulp Infeed - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F111_MA3210_FRQ_CM,CM_FRQ : Drum 1A - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F112_MA3211_FRQ_CM,CM_FRQ : Drum 1B - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F121_MA3212_FRQ_CM,CM_FRQ : Needle Roll 1A - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F122_MA3213_FRQ_CM,CM_FRQ : Needle Roll 1B - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_D181_MA3111_FRQ_CM,CM_FRQ : Main Suction Fan  - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H121_MA3227_FRQ_CM,CM_FRQ : Hammer Mill - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H131_MA3228_FRQ_CM,CM_FRQ : Fiber Transport - Motor,CM_FRQ,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F311_MA3111_COM_F,nan : Former Wire Run - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_C311_MA3121_COM_F,nan : Compactor - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H111_MA3101_COM_F,nan : Pulp Infeed - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F111_MA3210_COM_F,nan : Drum 1A - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F112_MA3211_COM_F,nan : Drum 1B - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F121_MA3212_COM_F,nan : Needle Roll 1A - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F122_MA3213_COM_F,nan : Needle Roll 1B - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_D181_MA3111_COM_F,nan : Main Suction Fan  - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H121_MA3227_COM_F,nan : Hammer Mill - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H131_MA3228_COM_F,nan : Fiber Transport - Motor,F_nan,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F311_MA3111_COM_UDT,UDT_IO_FRQ : Former Wire Run - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_C311_MA3121_COM_UDT,UDT_IO_FRQ : Compactor - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_H111_MA3101_COM_UDT,UDT_IO_FRQ : Pulp Infeed - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F111_MA3210_COM_UDT,UDT_IO_FRQ : Drum 1A - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F112_MA3211_COM_UDT,UDT_IO_FRQ : Drum 1B - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F121_MA3212_COM_UDT,UDT_IO_FRQ : Needle Roll 1A - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
TAG,IO,MCC_F122_MA3213_COM_UDT,UDT_IO_FRQ : Needle Roll 1B - Motor,UDT_IO_FRQ_Com,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
