0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
ALIAS,,MCC_X110_FC3010_DI_Flt,INPUT : Power Supply Servo - Thermal Fault,,MCC_IO:1:I.0,(RADIX := Decimal)
ALIAS,,MCC_F111_FC3210_DI_Flt,INPUT : Drum 1A - Thermal Fault,,MCC_IO:1:I.1,(RADIX := Decimal)
ALIAS,,MCC_F112_FC3211_DI_Flt,INPUT : Drum 1B - Thermal Fault,,MCC_IO:1:I.2,(RADIX := Decimal)
ALIAS,,MCC_F121_FC3212_DI_Flt,INPUT : Needle Roll 1A - Thermal Fault,,MCC_IO:1:I.3,(RADIX := Decimal)
ALIAS,,MCC_F122_FC3213_DI_Flt,INPUT : Needle Roll 1B - Thermal Fault,,MCC_IO:1:I.4,(RADIX := Decimal)
ALIAS,,MCC_D181_FC3111_DI_Flt,INPUT : Main Suction Fan  - Thermal Fault,,MCC_IO:1:I.5,(RADIX := Decimal)
ALIAS,,MCC_H121_FC3227_DI_Flt,INPUT : Hammer Mill - Thermal Fault,,MCC_IO:1:I.6,(RADIX := Decimal)
ALIAS,,MCC_H131_FC3228_DI_Flt,INPUT : Fiber Transport - Thermal Fault,,MCC_IO:1:I.7,(RADIX := Decimal)
ALIAS,,MCC_H121_KF6011_DI_ChA,INPUT : Hammer Mill Rotating Monitor - Standstill,,MCC_IO:7:I.Pt00Data,(RADIX := Decimal)
ALIAS,,MCC_H121_KF6011_DI_ChB,INPUT : Hammer Mill Rotating Monitor - Standstill,,MCC_IO:7:I.Pt01Data,(RADIX := Decimal)
ALIAS,,MCC_H121_RL4021_DI_ChA,INPUT : Hammer Mill - Lid Opened or Closed too Slow,,MCC_IO:7:I.Pt02Data,(RADIX := Decimal)
ALIAS,,MCC_H121_RL4021_DI_ChB,INPUT : Hammer Mill - Lid Opened or Closed too Slow,,MCC_IO:7:I.Pt03Data,(RADIX := Decimal)
ALIAS,,MCC_H121_RL4021_DI_FbO,INPUT : Hammer Mill - Lid Switch Open,,MCC_IO:2:I.0,(RADIX := Decimal)
ALIAS,,MCC_H121_RL4021_DO_CsUl,SAFE OUTPUT : Hammer Mill Unlock - Lid,,MCC_IO:9:O.Pt00Data,(RADIX := Decimal)
ALIAS,,MCC_AUX02_QA1010_DO_Cs,OUTPUT : Light HM Area - nan,,MCC_IO:5:O.0,(RADIX := Decimal)
ALIAS,,MCC_H111_SF1001_DI_Pb,INPUT : Infeed Jog  Forward - Push button,,MCC_IO:2:I.1,(RADIX := Decimal)
ALIAS,,MCC_H111_PH1001_DO_On,OUTPUT : Infeed Jog  Forward - White Indicator,,MCC_IO:5:O.1,(RADIX := Decimal)
ALIAS,,MCC_H111_SF1002_DI_Pb,INPUT : Infeed Jog Reverse - Push button,,MCC_IO:2:I.2,(RADIX := Decimal)
ALIAS,,MCC_H111_PH1002_DO_On,OUTPUT : Infeed Jog Reverse - White Indicator,,MCC_IO:5:O.2,(RADIX := Decimal)
ALIAS,,MCC_H111_SF1003_DI_Pb,INPUT : Infeed Aut/Man - Push button,,MCC_IO:2:I.3,(RADIX := Decimal)
ALIAS,,MCC_H111_PH1003_DO_On,OUTPUT : Infeed Aut/Man - Blue Indicator,,MCC_IO:5:O.3,(RADIX := Decimal)
ALIAS,,MCC_H111_SF1004_DI_Pb,INPUT : Infeed Open/Close - Push button,,MCC_IO:2:I.4,(RADIX := Decimal)
ALIAS,,MCC_H111_PH1004_DO_On,OUTPUT : Infeed Open/Close - White Indicator,,MCC_IO:5:O.4,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6103_DI_ChA,INPUT : Emergency Stop  - Hammer Mill,,MCC_IO:7:I.Pt04Data,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6103_DI_ChB,INPUT : Emergency Stop  - Hammer Mill,,MCC_IO:7:I.Pt05Data,(RADIX := Decimal)
ALIAS,,MCC_AQ01_BF9001_DI_Ps,INPUT : Main air - Pressure Feedback,,MCC_IO:2:I.5,(RADIX := Decimal)
ALIAS,,PNEU1_C311_QM9011_DO_Up,OUTPUT : Compactor Up/Down - Up/Down Compactor,,MCC_IO:5:O.5,(RADIX := Decimal)
ALIAS,,PNEU2_H110_QM9041_DO_Opn,OUTPUT : Pulp Infeed Up/Down - Open/Close Nip,,MCC_IO:5:O.6,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6101_DI_ChA,INPUT : Emergency Stop  - Wire Operator Side,,MCC_IO:7:I.Pt06Data,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6101_DI_ChB,INPUT : Emergency Stop  - Wire Operator Side,,MCC_IO:7:I.Pt07Data,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6102_DI_ChA,INPUT : Emergency Stop  - Wire Drive Side,,MCC_IO:8:I.Pt00Data,(RADIX := Decimal)
ALIAS,,MCC_ES01_SF6102_DI_ChB,INPUT : Emergency Stop  - Wire Drive Side,,MCC_IO:8:I.Pt01Data,(RADIX := Decimal)
ALIAS,,MCC_AC01_FC2010_DI_Flt,INPUT : 230VAC Power Supply - Circuit Breaker,,MCC_IO:2:I.6,(RADIX := Decimal)
ALIAS,,MCC_AUX01_FC1010_DI_Flt,INPUT : MCC Ventilation - Circuit Breaker,,MCC_IO:2:I.7,(RADIX := Decimal)
ALIAS,,MCC_AUX01_QA1010_DO_Cs,OUTPUT : MCC Ventilation - Start,,MCC_IO:5:O.7,(RADIX := Decimal)
ALIAS,,MCC_AUX01_QA1010_DI_Fb,INPUT : MCC Ventilation - Feedback,,MCC_IO:3:I.0,(RADIX := Decimal)
ALIAS,,MCC_AUX01_BT3010_DI_Cs,INPUT : MCC Ventilation termostat - Termostat,,MCC_IO:3:I.1,(RADIX := Decimal)
ALIAS,,MCC_AUX01_SF1990_DI_Cs,INPUT : Stop Ventilation Filter Change - Push Button,,MCC_IO:3:I.2,(RADIX := Decimal)
ALIAS,,MCC_DC01_FC1010_DI_Flt,INPUT : 24VDC Power Supply - Power Feed Module,,MCC_IO:3:I.3,(RADIX := Decimal)
ALIAS,,MCC_DC02_FC1002_DI_Flt,INPUT : 24VDC Power Supply Servodrive - Circuit Breaker,,MCC_IO:3:I.4,(RADIX := Decimal)
ALIAS,,MCC_DC02_1LDC_DI_Flt,INPUT : Power Supply 24VDC Servodrive - Circuit Breaker,,MCC_IO:3:I.5,(RADIX := Decimal)
ALIAS,,MCC_DC02_2LDC_DI_Flt,"INPUT : Power Supply 24VDC Servodrive - Circuit Breaker, Spare",,MCC_IO:3:I.6,(RADIX := Decimal)
ALIAS,,MCC_Din_SP01_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:3:I.7,(RADIX := Decimal)
ALIAS,,MCC_Din_SP02_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.0,(RADIX := Decimal)
ALIAS,,MCC_Din_SP03_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.1,(RADIX := Decimal)
ALIAS,,MCC_Din_SP04_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.2,(RADIX := Decimal)
ALIAS,,MCC_Din_SP05_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.3,(RADIX := Decimal)
ALIAS,,MCC_Din_SP06_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.4,(RADIX := Decimal)
ALIAS,,MCC_Din_SP07_DI_Disp,INPUT : Spare Digital Input - nan,,MCC_IO:4:I.5,(RADIX := Decimal)
